contactid,title,description,overrideurl,affinity,clustergroup,ogname,ogtexthead,ogtitle1,ogtag1,ogurl1,ogtitle2,ogtag2,ogurl2,ogmoreinfo,ogmoreinfourltitle,ogmoreinfourltag,ogmoreinfourl,telephonename,phonetexthead,phoneopenhours,telephone,telephonename2,phonetexthead2,phoneopenhours2,telephone2,textphone,international,fax,phonemoreinfo,phonemoreinfourltitle,phonemoreinfourltag,phonemoreinfourl,emailtexthead,emailtitle1,emailtag1,emailaddress1,emailurl1,emailtitle2,emailtag2,emailaddress2,emailurl2,emailmoreinfo,emailmoreinfourltitle,emailmoreinfourltag,emailmoreinfourl,postname,posttexthead,posttag1,postaddress1,posttag2,postaddress2,posttag3,postaddress3,postmoreinfo,postmoreinfourltitle,postmoreinfourltag,postmoreinfourl,keywords,alt_meta_title,alt_meta_description,alt_meta_keywords,entrysource,externalid,lastupdated
1,"Accessibility & specialist services
Specialist services
Services for customers with special needs",We offer a number of services to assist customers with particular needs,http://www.hmrc.gov.uk/contactus/particular-needs.htm,,See also,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,OiQNArO16c4,31/05/2013 14:58:23
2,"Bereavement Helpline
Death",What to do about Income Tax and Self Assessment after a death,,"individuals & employees > Bereavement
individuals & employees > All individuals",Tax,,,What to do about tax and benefits after a death,"How to handle tax or benefit affairs after a death, and who to notify about the death",http://www.hmrc.gov.uk/bereavement/index.htm,Claiming back Income Tax on behalf of someone who has died,Find out when a tax refund might be due and how to claim it,http://www.hmrc.gov.uk/incometax/claim-for-deceased.htm,,,,,Taxes Helpline,"Telephoning the deceased's HMRC office.

When you call HMRC and an automated message starts, select option 2 and then option 4 to speak to an advisor on the Bereavement Helpline.","8.00 am to 8.00 pm, Monday to Friday 
8.00 am to 4.00 pm Saturday",0300 200 3300,,,,,0300 200 3319,+44 135 535 9022,,"If the deceased was receiving tax credits, Child Benefit or other payments dealt with by HMRC, you'll also need to tell the relevant helpline of the death. 

You might also need to conact HMRC if: 
- the deceased was paying voluntary National Insurance contributions
- the deceased was self employed and paying National Insurance contributions by Direct Debit
- Inheritance Tax is due 
- the Estate needs to pay tax on untaxed income or Capital  Gains Tax 
- the deceased is registered for VAT  

Follow the 'Bereavement' link below to find details of other relevant helplines.",Bereavement,,http://search2.hmrc.gov.uk/kb5/hmrc/contactus/results.page?affinity=2039,,,,,,,,,,,,,,,"If you need to write to HMRC about Income Tax and bereavement, such as form R27 (reclaiming tax or paying tax when someone dies), Self Assessent Tax Return and any other correspondence relating to bereavement for Pay As You Earn and Self Assessment, write to the address below.",,"HM Revenue & Customs 
Pay As You Earn and Self Assessment  
PO Box 4000 
Cardiff 
CF14 8HR 

Please clearly mark your letter 'Bereavement' so that we can quickly direct it to a dedicated team. The team will be responsible for dealing with Pay As You Earn and Self Assessment bereaved customers.",,,,,,,,,,,,,enquiry,7JTJEvPnPuo,24/06/2013 09:33:46
4,"Charities and Community Amateur Sports Clubs (CASCs)
Gift Aid
Community Amateur Sports Clubs (CASC)","Information for charities and CASCs about Gift Aid, Payroll Giving, tax reliefs, VAT, how to complete a Company or Self Assessment tax return, and forms that can be downloaded.",,"businesses & corporations > Charities & CASCs
businesses & corporations > All businesses",Tax,,,Information for charities,"Information for charities and CASCs about Gift Aid, Payroll Giving, tax reliefs, VAT, how to complete a Company or Self Assessment tax return, and forms that can be downloaded.",http://www.hmrc.gov.uk/charities,,,,,,,,HM Revenue & Customs Charities Helpline,"Call the Charities Helpline for:
- advice on applying for recognition as a charity for tax and Gift Aid purposes
- advice on VAT reliefs for charities   
- advice on VAT reliefs for disabled and older people  
- registering as a CASC 
- help completing a Company or trust tax return 
- advice about Gift Aid, Payroll Giving and making a repayment claim 
- any other charity or CASC tax enquiries","8.00 am to 5.00 pm, Monday to Friday
Closed weekends and bank holidays",0845 302 0203,,,,,,,,"Please select option 1 if your enquiry is about VAT reliefs for disabled and older people. 

Alternatively you can follow the link below for all contacts for enquiries relating to VAT reliefs for disabled and older people.",VAT reliefs for disabled and older people,,http://search2.hmrc.gov.uk/kbroker/hmrc/contactus/search.ladv?raction=view&amp;fl0=__dsid%3A&amp;sm=0&amp;ha=34&amp;as=1&amp;sf=&amp;sp_scope=hmrc&amp;sc=hmrc&amp;nh=10&amp;sr=0&amp;cs=ISO-8859-1&amp;tx1=&amp;tx0=49691,You can email HMRC with your enquiry.,HMRC Charities enquiry forms,,,http://www.hmrc.gov.uk/charities/email.htm,,,,,"We cannot guarantee the security of emails you send to us or we send to you over the internet. Information sent by email over the internet is not secure and it is at the risk of being intercepted and read by people other than those it was intended for. Any information you send to us by email is at your own risk. If you would like us to reply by email,  please confirm in your message that you understand and accept the risks involved. 

If you have any doubt about the authenticity of an email you receive which claims to come from HMRC please do not follow any of the links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,You can write to us at the following address:,"HM Revenue & Customs
Charities Correspondence S0708 
PO Box 205 
Bootle  
L69 9AZ",For enquiries relating to VAT relief for disabled and older people you can write to the following address:,"HM Revenue & Customs
VAT Disabled and Elderly Reliefs Correspondence S0708 
PO Box 205 
Bootle 
L69 9AZ",,,,,,,elderly,,,,enquiry,XqbRdlnT_mo,31/05/2013 14:58:24
5,Child Benefit,Help and advice for Child Benefit customers,,"individuals & employees > Bereavement
individuals & employees > All individuals",Tax credits and other benefits,,,High Income Child Benefit charge,"Find out how your tax could be affected if you or a partner have an income of more than £50,000 and get Child Benefit, and what you need to do",http://www.hmrc.gov.uk/childbenefitcharge,How to claim Child Benefit,"To claim Child Benefit you need to fill in a claim form. You can get one online, plus other information about claiming",http://www.hmrc.gov.uk/childbenefit/start/claiming/index.htm,,,,,Child Benefit Helpline,"We can only discuss your claim with you personally. If your partner or someone else calls for you, we can only give them general advice - unless you have authorised them to act on your behalf. 

General help and advice with your Child Benefit","8.00 am to 8.00 pm, Monday to Friday 
8.00 am to 4.00 pm Saturday 
Closed Sundays, Christmas Day, Boxing Day, and New Year's Day",0300 200 3100,,,,,0300 200 3103,+44 161 210 3086,,When you contact us please have your National Insurance number or Child Benefit number to hand.,,,,Use the HM Revenue & Customs email service,Let us know about changes online that may affect your Child Benefit,,,http://www.hmrc.gov.uk/childbenefit/change-circs.htm,Send us your Child Benefit query online,,,http://www.hmrc.gov.uk/childbenefit/question.htm,"By submitting information to us directly by using special forms on our website your message is secure, but our email reply to you, which will be sent over the internet, is not. Information sent by email over the internet is not secure and is at risk of being intercepted and read by people other than those it was intended for. If our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,You can write to us at the following address:,"Child Benefit Office 
PO Box 1  
Newcastle Upon Tyne  
NE88 1AA",,,,,,,,,,,,,enquiry,LNktdzH4gr0,31/05/2013 14:58:26
6,Child Trust Fund,For information and advice about the Child Trust Fund,,"individuals & employees > Bereavement
individuals & employees > All individuals",Tax credits and other benefits,,,,,,,,,,Child Trust Fund information for families on the GOV.UK website,"What is a Child Trust Fund, who can get one, payments, how to open, manage or change an account",https://www.gov.uk/child-trust-funds/overview,,,,,,,,,,,,,,,,Use the HM Revenue & Customs email service:,Send us a request online to find out where your Child Trust Fund account is held,,,http://www.hmrc.gov.uk/tools/childtrustfundclaim/ctfaccount.htm,Let us know if your child is terminally ill and you want to take money out of their Child Trust Fund or Junior Isa Account (JISA),,,http://www.hmrc.gov.uk/tools/childtrustfundclaim/claimform.htm,"By submitting information to us directly by using special forms on our website your message is secure, but our email reply to you, which will be sent over the internet, is not. Information sent by email over the internet is not secure and is at risk of being intercepted and read by people other than those it was intended for. If our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails:",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,,,,,,,,,,,,,,,enquiry,cwju-nnXjhI,18/06/2013 11:20:40
7,Complaints about HM Revenue & Customs,What to do if you're unhappy with our service,,"individuals & employees > All individuals
businesses & corporations > All businesses
employers > All employers",See also,,,How to complain to HM Revenue & Customs,"Usually, a phone call to the person or office you have been dealing with will allow us to put things right quickly, their number will be on any papers they have sent you. However, if you are still unhappy then you may want to complain. This page tells you how to make a complaint about our service and what to do if you're unhappy with the response you get.",http://www.hmrc.gov.uk/dealingwith/complain.htm,Complaints and putting things right,This factsheet tells you what you should do if you are unhappy with our service or the way we have treated you.,http://www.hmrc.gov.uk/factsheets/complaints-factsheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,lfS60_PdP7g,31/05/2013 14:58:23
9,Construction Industry Scheme,Help and advice for subcontractors and contractors within the Construction Industry Scheme,,"individuals & employees > Self-employed
individuals & employees > All individuals
employers > All employers",Tax,,,Information about understanding and using CIS Online,How the CIS Online service can save you time and effort when verifying subcontractors and sending in your monthly returns,http://www.hmrc.gov.uk/cis/returns/cis-online.htm,Information to help you get to grips with CIS,Register to start using CIS Online or use the service now to verify contractors or file monthly returns if already registered,http://www.hmrc.gov.uk/cis/index.htm,,,,,Construction Industry Scheme (CIS) Helpline,Help and advice for subcontractors and contractors within the Construction Industry Scheme. You can also order CIS forms and leaflets from the helpline.,"8.00 am to 8.00 pm, Monday to Friday 
8.00 am to 4.00 pm Saturday  
Closed Sundays, Christmas Day, Boxing Day and New Year?s Day",0845 366 7899,,,,,0845 366 7894,+44 161 930 8706,,"When you get in touch, please tell us your National Insurance number and your Unique Taxpayer Reference.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,039zI-xtZZw,31/05/2013 14:58:24
10,Corporation Tax Payment,Corporation Tax payment enquiries,,businesses & corporations > All businesses,Tax,,,How to pay Corporation Tax,"Ways you can pay Corporation Tax, benefits of paying electronically, information you'll need and key deadlines",http://www.hmrc.gov.uk/payinghmrc/corporationtax.htm,What to do if you can't pay Corporation Tax,Contact HMRC as soon as possible if you don't think you can pay all your Corporation Tax,http://www.hmrc.gov.uk/ct/managing/pay-repay/cant-pay.htm,,,,,Corporation Tax Unit,For all Corporation Tax payment enquiries,"9.00 am to 5.00 pm, Monday to Thursday 
9.00 am to 4.30 pm Friday 
Closed weekends and bank holidays",01236 785057,Payment helpline for Group Payment Arrangement Team,Group Payment Arrangement Team,"9.00 am to 5.00 pm, Monday to Thursday 
9.30 am to 4.30 pm Friday 
Closed weekends and bank holidays",01236 785499,,,,,,,,,,,,,,,,,,,,,Written Corporation Tax enquiries should be addressed to:,,,"HM Revenue & Customs
Corporation Tax Unit 
Debt Management and Banking 
St Mungo's Road 
Cumbernauld 
Glasgow
G67 1YZ",Written Group Payment Arrangement enquiries should be addressed to:,"HM Revenue and Customs
Group Payment Arrangement Team  
Debt Management and Banking 
St Mungo's Road 
Cumbernauld 
Glasgow
G67 1YZ",,,,,,,,,,,enquiry,B3ZqklUNSLo,31/05/2013 14:58:24
11,"Duty Deferment Scheme General Enquiries
Scheme General Enquiries - Duty Deferment",For advice on the administration of the Duty Deferment Scheme and how to apply,,businesses & corporations > All businesses,"VAT, Customs, Excise duties",,,,,,,,,,,,,Central Deferment Office,,"9.00 am to 12.30 pm and 1.30 pm to 4.30 pm 
Monday to Friday
Closed weekends and bank holidays",01702 367 425/429/431/450,,,,,,,01702 366 091,"For help with Duty Deferment Electronic Statement (DDES) online facilities (including registering, activation, login, ID/password queries and de-enrolment) follow the 'Online Services Helpdesk' link below",Online Services Helpdesk,,https://online.hmrc.gov.uk/information/helpdesk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enquiry,14jVVYZcuSI,31/05/2013 14:58:27
13,"Share Schemes for employees
Employee Share schemes",For employer enquiries on Share Schemes,,"businesses & corporations > All businesses
employers > All employers",Tax,,,,,,,,,,,,,,,"8.30am to 5.00pm Monday to Thursday 
8.30am to 4.30pm Friday 
Closed weekends and bank holidays",0845 600 2622,,,,,,+44 115 974 1250,,,,,,,Share Scheme enquiries,For technical enquiries on Share Schemes,,http://www.hmrc.gov.uk/shareschemes/welcome.htm,,,,,"By submitting information to us directly by using special forms on our website your message is secure, but our email reply to you, which will be sent over the internet, is not. Information sent by email over the internet is not secure and is at risk of being intercepted and read by people other than those it was intended for. If our response to you contains any personal or confidential information we will only reply to you by letter or telephone. 

If you have any doubt about the authenticity of an email you receive which claims to have come from HMRC please do not follow any links within the email, disclose any personal details or respond to it. 

Follow the link below to report HMRC related phishing emails.",Reporting HMRC related phishing emails,,http://www.hmrc.gov.uk/security/reporting.htm,,,,"You can write to HMRC at:

Employee Shares & Securities Unit
1st Floor, Fitzroy House
Castle Meadow Road
Nottingham
NG2 1BD",,,,,,,,,,,,,enquiry,ncEqJKkqvLE,31/05/2013 14:58:24
